Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
1.18	35.13	-0.150
1.18	35.15	-0.150
1.18	35.17	-0.150
1.18	35.18	-0.150
1.19	35.20	-0.150
1.19	35.22	-0.150
1.19	35.23	-0.150
1.19	35.25	-0.150
1.19	35.26	-0.150
1.19	35.28	-0.150
1.20	35.30	-0.150
1.20	35.31	-0.150
1.20	35.33	-0.150
1.20	35.35	-0.150
1.20	35.36	-0.150
1.21	35.38	-0.150
1.21	35.40	-0.150
1.21	35.41	-0.150
1.21	35.43	-0.150
1.21	35.45	-0.150
1.21	35.46	-0.150
1.22	35.48	-0.150
1.22	35.50	-0.150
1.22	35.52	-0.150
1.22	35.53	-0.150
1.22	35.55	-0.150
1.22	35.56	-0.150
1.23	35.58	-0.150
1.23	35.60	-0.150
1.23	35.61	-0.150
1.23	35.63	-0.150
1.23	35.65	-0.150
1.23	35.66	-0.150
1.23	35.68	-0.150
1.24	35.70	-0.150
1.24	35.71	-0.150
1.24	35.73	-0.150
1.24	35.75	-0.150
1.24	35.76	-0.150
1.24	35.78	-0.150
1.25	35.79	-0.150
1.25	35.81	-0.150
1.25	35.83	-0.150
1.25	35.84	-0.150
1.25	35.86	-0.150
1.26	35.88	-0.150
1.26	35.89	-0.150
1.26	35.91	-0.149
1.26	35.93	-0.149
1.26	35.94	-0.149
1.26	35.96	-0.149
1.27	35.98	-0.149
1.27	36.00	-0.149
1.27	36.01	-0.149
1.27	36.03	-0.149
1.27	36.04	-0.149
1.27	36.06	-0.149
1.28	36.08	-0.149
1.28	36.09	-0.149
1.28	36.11	-0.149
1.28	36.13	-0.149
1.28	36.14	-0.149
1.28	36.16	-0.149
1.28	36.18	-0.149
1.29	36.19	-0.149
1.29	36.21	-0.149
1.29	36.23	-0.149
1.29	36.24	-0.149
1.29	36.26	-0.149
1.29	36.28	-0.149
1.30	36.29	-0.149
1.30	36.31	-0.149
1.30	36.33	-0.149
1.30	36.34	-0.149
1.30	36.36	-0.149
1.31	36.38	-0.149
1.31	36.39	-0.149
1.31	36.41	-0.149
1.31	36.43	-0.149
1.31	36.44	-0.149
1.31	36.46	-0.149
1.32	36.48	-0.149
1.32	36.49	-0.149
1.32	36.51	-0.149
1.32	36.53	-0.149
1.32	36.54	-0.149
1.32	36.56	-0.149
1.33	36.58	-0.149
1.33	36.59	-0.149
1.33	36.61	-0.149
1.33	36.62	-0.149
1.33	36.64	-0.149
1.33	36.66	-0.149
1.33	36.68	-0.149
1.34	36.69	-0.149
1.34	36.71	-0.149
1.34	36.72	-0.149
1.34	36.74	-0.149
1.34	36.76	-0.149
1.34	36.77	-0.149
1.35	36.79	-0.149
1.35	36.81	-0.149
1.35	36.82	-0.149
1.35	36.84	-0.149
1.35	36.86	-0.149
1.36	36.87	-0.149
1.36	36.89	-0.149
1.36	36.91	-0.149
1.36	36.92	-0.149
1.36	36.94	-0.149
1.36	36.96	-0.149
1.37	36.97	-0.149
1.37	36.99	-0.149
1.37	37.01	-0.149
1.37	37.02	-0.149
1.37	37.04	-0.149
1.37	37.06	-0.149
1.38	37.07	-0.149
1.38	37.09	-0.149
1.38	37.11	-0.149
1.38	37.12	-0.149
1.38	37.14	-0.149
1.38	37.16	-0.149
1.38	37.17	-0.149
1.39	37.19	-0.149
1.39	37.21	-0.149
1.39	37.22	-0.149
1.39	37.24	-0.149
1.39	37.26	-0.149
1.39	37.27	-0.149
1.40	37.29	-0.149
1.40	37.30	-0.149
1.40	37.32	-0.149
1.40	37.34	-0.149
1.40	37.36	-0.149
